event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,48231fbd1af53674,Toshiomi Kazama,148bb103cfbf123e,Garrett Armfield,1effd880e1f1bb30,Bantamweight,0,KO/TKO,1,256,3,Kevin Sataki
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,f7bc845ce74f5fe7,Junior Tafa,c15fa95b9a12fde4,Parker Porter,ac40f7e3cbecdda4,Heavyweight,0,KO/TKO,1,84,3,Marc Goddard
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,da6b863cf684e0ae,Song Kenan,32490e80ddab1e5a,Rolando Bedoya,40a456a25d52ee65,Welterweight,0,Decision - Unanimous,3,300,3,Marc Goddard
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,293c5f4c9aca5c54,Chidi Njokuani,c68c68efaa5ca6ef,Michal Oleksiejczuk,0d65c432720accb9,Middleweight,0,KO/TKO,1,256,3,Thomas Fan
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,b65b37c0e00074d9,SeungWoo Choi,a68575214ecad140,Jarno Errens,082eba4cd80f736f,Featherweight,0,Decision - Unanimous,3,300,3,Thomas Fan
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,977250a28d3b8a3f,Billy Ray Goff,fa07345cc9db5cc9,Yusaku Kinoshita,21b5c82c1b89dab1,Welterweight,0,KO/TKO,1,229,3,Mark Craig
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,ea006bae605e2a6b,Ciryl Gane,787bb1f087ccff8a,Serghei Spivac,e2f6b2769aaedd6c,Heavyweight,0,KO/TKO,2,224,5,Marc Goddard
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,5098d052525da54f,Volkan Oezdemir,0845c81e37d3bcb3,Bogdan Guskov,ef5dcb10d2bd4b0f,Light Heavyweight,0,Submission,1,226,3,Marc Goddard
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,23865dfc8361ac62,Liang Na,ec0dcceace7d25a3,JJ Aldrich,6fd953151d981979,Flyweight,0,KO/TKO,2,289,3,Kevin Sataki
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,1b9a127f9dadaad9,Taylor Lapilus,8b1ed83b02303075,Caolan Loughran,42ac4020cba261ad,Bantamweight,0,Decision - Unanimous,3,300,3,Lukasz Bosacki
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,dfa8fd0b82b37fa1,Benoit Saint Denis,c2299ec916bc7c56,Thiago Moises,d945aae53e3e54e6,Lightweight,0,KO/TKO,2,284,3,Lukasz Bosacki
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,1c29c53ff032c5c1,William Gomis,e1d40e8782d80bc2,Yanis Ghemmouri,eb70e786bbdf1d16,Featherweight,0,KO/TKO,3,140,3,Loic Pora
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,4eaf54ad3c82b6fa,Manon Fiorot,34ff304266360297,Rose Namajunas,47b63240018d5d86,Flyweight,0,Decision - Unanimous,3,300,3,Rich Mitchell
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,1be27d95bba03f17,Ange Loosa,1497e735d9f2560a,Rhys McKee,f748267c4ab6c127,Welterweight,0,Decision - Unanimous,3,300,3,Loic Pora
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,0d41a3fa5efef91b,Morgan Charriere,5b03b61f9d90125e,Manolo Zecchini,fd7ab338e4953644,Featherweight,0,KO/TKO,1,231,3,Rich Mitchell
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,ac73c6888ee9322c,Farid Basharat,a09ed60aa67a3f67,Kleydson Rodrigues,102a8fdf8cbf7467,Bantamweight,0,Submission,1,255,3,Loic Pora
UFC 292: Sterling vs. O'Malley,2719f300b0439039,ee796ecb4ee8680b,Aljamain Sterling,cb696ebfb6598724,Sean O'Malley,b50a426a33da0012,Bantamweight,1,KO/TKO,2,51,5,Marc Goddard
UFC 292: Sterling vs. O'Malley,2719f300b0439039,fd4d30036a3f3efb,Da'Mon Blackshear,da22387a0407a2dc,Mario Bautista,bc711b6dd95c1af6,Bantamweight,0,Decision - Unanimous,3,300,3,Bryan Miner
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,e3a5a7ede88a2555,Nora Cornolle,f2b3f4ef3f780168,Joselyne Edwards,f9ab66e67240db7b,Bantamweight,0,Decision - Unanimous,3,300,3,Lukasz Bosacki
UFC 292: Sterling vs. O'Malley,2719f300b0439039,621e6f0929a3dbfc,Marlon Vera,7c7332319c14094c,Pedro Munhoz,6bd02119599741a4,Bantamweight,0,Decision - Unanimous,3,300,3,Herb Dean
UFC Fight Night: Gane vs. Spivac,ef61d9f5176b3200,2a48d0a98c21e736,Zarah Fairn,862b0b3375aa4b6e,Jacqueline Cavalcanti,e3964ece586e0635,Catch Weight,0,Decision - Unanimous,3,300,3,Rich Mitchell
UFC 292: Sterling vs. O'Malley,2719f300b0439039,f995ed679ef8bdf4,Gregory Rodrigues,d1c65d2cf2925ddd,Denis Tiuliulin,0112352cb32f5026,Middleweight,0,KO/TKO,1,103,3,Bryan Miner
UFC 292: Sterling vs. O'Malley,2719f300b0439039,62d53ad8f8769666,Kurt Holobaugh,a7151778b3381036,Austin Hubbard,d2cd7a69cc55e7ed,Lightweight,0,Submission,2,159,3,John English
UFC 292: Sterling vs. O'Malley,2719f300b0439039,845e38dfbfea6e53,Zhang Weili,1ebe20ebbfa15e29,Amanda Lemos,3df5493bb279226f,Flyweight,1,Decision - Unanimous,5,300,5,Kevin MacDonald
UFC 292: Sterling vs. O'Malley,2719f300b0439039,1a95cc401f68f4c8,Chris Weidman,3a8176e15b9887c1,Brad Tavares,0c6d9ea8306c029e,Middleweight,0,Decision - Unanimous,3,300,3,Keith Peterson
UFC 292: Sterling vs. O'Malley,2719f300b0439039,e9754f597ec50f6f,Brad Katona,7b433309b0fd12aa,Cody Gibson,700a674c042b7a96,Bantamweight,0,Decision - Unanimous,3,300,3,Marc Goddard
UFC 292: Sterling vs. O'Malley,2719f300b0439039,78d2c01dc963f204,Neil Magny,84b3e7d38f2d2ec5,Ian Machado Garry,442c9011034ae1fd,Welterweight,0,Decision - Unanimous,3,300,3,Keith Peterson
UFC 292: Sterling vs. O'Malley,2719f300b0439039,9f7c28381b6913c8,Andre Petroski,5f61780fe5e9b6d0,Gerald Meerschaert,6ac9bc2953c47345,Middleweight,0,Decision - Split,3,300,3,Herb Dean
UFC 292: Sterling vs. O'Malley,2719f300b0439039,f329bd89e375d6df,Karine Silva,9d62c2d8ee151f08,Maryna Moroz,b4192a975027aab6,Flyweight,0,Submission,1,299,3,John English
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,e346f2b7af63e804,Vicente Luque,6d4b63c767106d3a,Rafael Dos Anjos,6a2f7c151031653d,Welterweight,0,Decision - Unanimous,5,300,5,Mark Smith
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,c57a4810c932b296,Khalil Rountree Jr.,749f572d1d3161fb,Chris Daukaus,d0aaedcf7ccd0b45,Light Heavyweight,0,KO/TKO,1,160,3,Herb Dean
UFC 292: Sterling vs. O'Malley,2719f300b0439039,8c7b5b21b3532027,Andrea Lee,05fa626cb33d15b8,Natalia Silva,262d32ebda89efc4,Flyweight,0,Decision - Unanimous,3,300,3,Kevin MacDonald
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,9a9479663bedf8b4,Josh Fremd,ca43de99b07b6b40,Jamie Pickett,830f60497fab345a,Middleweight,0,Decision - Unanimous,3,300,3,Mark Smith
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,560a971c6ab8b854,AJ Dobson,009c4420727149ea,Tafon Nchukwi,6aae253467e8f9ce,Middleweight,0,Decision - Unanimous,3,300,3,Herb Dean
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,1b1fd32485861655,Cub Swanson,d247691a6c0e9034,Hakeem Dawodu,2c9d00968f818270,Featherweight,0,Decision - Unanimous,3,300,3,Jason Herzog
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,9576d9cba5cf5c4e,Terrance McKinney,809bd1a871491508,Mike Breeden,d80ee110748171ac,Lightweight,0,KO/TKO,1,85,3,Chris Tognoni
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,c2f730cb33df5221,Polyana Viana,9673a497a9da119a,Iasmin Lucindo,abcf2cc6efc42031,Flyweight,0,Submission,2,222,3,Chris Tognoni
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,9479ba3cdcb1e513,Francis Marshall,5d495dec23d7c68e,Isaac Dulgarian,a57cb948c4c70a47,Featherweight,0,KO/TKO,1,288,3,Jason Herzog
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,91a5480f48bfaa71,Da'Mon Blackshear,da22387a0407a2dc,Jose Johnson,84f727cf0166d6f2,Bantamweight,0,Submission,1,227,3,Mark Smith
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,2c160a1d1fdbf0b0,JP Buys,0b362247806341e5,Marcus McGhee,c0ac37a4a1133da9,Bantamweight,0,KO/TKO,1,139,3,Jason Herzog
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,d5929b7fbc801ce4,Josh Parisian,b5da8f7d05e85a55,Martin Buday,8eb046f83e82bf26,Heavyweight,0,Submission,1,251,3,Herb Dean
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,ca2aa660bea0cb60,Jaqueline Amorim,bc7d1ad49fcb2d08,Montserrat Conejo Ruiz,1235b31de15d0c6e,Flyweight,0,KO/TKO,3,221,3,Chris Tognoni
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,c27e33ee8ef53866,Dustin Poirier,029eaff01e6bb8f0,Justin Gaethje,9e8f6c728eb01124,Lightweight,0,KO/TKO,2,60,5,Herb Dean
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,f1eca70738ca073e,Tony Ferguson,22a92d7f62195791,King Green,887961364be5ceb3,Lightweight,0,Submission,3,294,3,Dan Miragliotta
UFC Fight Night: Luque vs. Dos Anjos,d2fa318f34d0aadc,e3573545220ca4ea,Juliana Miller,aa0c573da7119292,Luana Santos,5078e1dacf9d25f4,Flyweight,0,KO/TKO,1,221,3,Jason Herzog
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,eff6ec2b2f1fb27b,Derrick Lewis,d3df1add9d9a7efb,Marcos Rogerio de Lima,ab943cd2c3c17825,Heavyweight,0,KO/TKO,1,33,3,Dan Miragliotta
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,cbf1e76186a0c8b3,Michael Chiesa,c58f51dedb310998,Kevin Holland,3a46b268013afede,Welterweight,0,Submission,1,159,3,Marc Goddard
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,4327fe98e1b6f222,Gabriel Bonfim,01641ba5df0c69b0,Trevin Giles,b27a1fcb56a3035a,Welterweight,0,Submission,1,73,3,Herb Dean
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,800a35b3a7e52308,Jan Blachowicz,99df7d0a2a08a8a8,Alex Pereira,e5549c82bfb5582d,Light Heavyweight,0,Decision - Split,3,300,3,Marc Goddard
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,7a8f218c07347c88,Jake Matthews,a845f0735bc67405,Darrius Flowers,65db4065e2bc107d,Welterweight,0,Submission,2,157,3,Tyler Tomlinson
